Language,Checkpoint #,Instructions Delta,Virtual Time Delta us,NVM Writes,Est Energy uJ
C,1,6982,21700.0,8,10.080262
C,2,6981,28900.0,8,10.078819
C,3,6981,37000.0,8,10.078819
C,4,6981,45200.0,8,10.078819
C,5,6981,54200.0,8,10.078819
C,6,6981,63700.0,8,10.078819
C,7,6981,73300.0,8,10.078819
C,8,6981,83300.0,8,10.078819
C,9,6981,93700.0,8,10.078819
C,10,6981,104200.0,8,10.078819
C,11,6981,115700.0,8,10.078819
C,12,6981,128500.0,8,10.078819
C,13,6981,142800.0,8,10.078819
C,14,6981,158800.0,8,10.078819
C,15,6981,175200.0,8,10.078819
C,16,6981,191900.0,8,10.078819
C,17,6981,211600.0,8,10.078819
C,18,6981,232000.0,8,10.078819
C,19,6981,253500.0,8,10.078819
C,20,6981,275600.0,8,10.078819
C,21,6981,298000.0,8,10.078819
C,22,6981,320600.0,8,10.078819
C,23,6981,343500.0,8,10.078819
C,24,6981,366900.0,8,10.078819
C,25,6981,390800.0,8,10.078819
C,26,6981,415899.9,8,10.078819
C,27,6981,442999.9,8,10.078819
C,28,6981,471199.9,8,10.078819
C,29,6981,499699.9,8,10.078819
C,30,6981,529399.9,8,10.078819
C,31,6981,559499.9,8,10.078819
C,32,6981,593999.9,8,10.078819
C,33,6981,628899.9,8,10.078819
C,34,6981,664199.9,8,10.078819
C,35,6981,700599.9,8,10.078819
C,36,6981,737399.9,8,10.078819
C,37,6981,774499.9,8,10.078819
C,38,6981,811899.9,8,10.078819
C,39,6981,849899.9,8,10.078819
C,40,6981,888699.9,8,10.078819
C,41,6981,927699.9,8,10.078819
C,42,6981,970699.9,8,10.078819
C,43,6981,1013999.9,8,10.078819
C,44,6981,1059999.9,8,10.078819
C,45,6981,1106499.9,8,10.078819
C,46,6981,1153599.9,8,10.078819
C,47,6981,1205399.9,8,10.078819
C,48,6981,1260399.9,8,10.078819
C,49,6981,1316299.9,8,10.078819
C,50,6981,1372899.9,8,10.078819
C,51,6981,1430399.9,8,10.078819
C,52,6981,1489599.9,8,10.078819
C,53,6981,1549999.9,8,10.078819
C,54,6981,1610499.9,8,10.078819
C,55,6981,1672199.9,8,10.078819
C,56,6981,1734099.9,8,10.078819
C,57,6981,1797499.9,8,10.078819
C,58,6981,1861899.9,8,10.078819
C,59,6981,1926999.9,8,10.078819
C,60,6981,1992499.9,8,10.078819
C,61,6981,2059099.9,8,10.078819
C,62,60576,60000.0,8,87.4566
C,63,6981,2126899.9,8,10.078819
C,64,60576,60000.0,8,87.4566
C,65,6981,2195599.9,8,10.078819
C,66,60576,60000.0,8,87.4566
C,67,6981,2264899.9,8,10.078819
C,68,60576,60000.0,8,87.4566
C,69,6981,2336399.9,8,10.078819
C,70,60576,60000.0,8,87.4566
C,71,6981,2408299.9,8,10.078819
C,72,60576,60000.0,8,87.4566
C,73,6981,2480499.9,8,10.078819
C,74,60576,60000.0,8,87.4566
C,75,6981,2553899.9,8,10.078819
C,76,60576,60000.0,8,87.4566
C,77,6981,2628699.9,8,10.078819
C,78,60576,60000.0,8,87.4566
C,79,6981,2704199.9,8,10.078819
C,80,60576,60000.0,8,87.4566
C,81,6981,2780099.9,8,10.078819
C,82,60576,60000.0,8,87.4566
